Date,KOR_export,export_CHI,export_USA,export_VET,export_Hong,export_JAP,foreign exchange,oil_price,SW,OCC,FE
2000-01,12162424632.0,1235215271.0,2609787984.0,109742698.0,782348732.0,1551722070.0,3159.0,58.25,694.0,229.3,359.5
2000-02,12676042304.0,1273117309.0,2554309883.0,112395157.0,823990122.0,1518844843.0,3159.0,58.25,694.0,229.3,359.5
2000-03,14429703086.0,1437377223.0,2946820669.0,150134562.0,911648256.0,1783564618.0,3159.0,58.25,694.0,229.3,359.5
2000-04,13522040017.0,1366876604.0,2698029849.0,169146208.0,863243219.0,1582707525.0,3159.0,58.25,694.0,229.3,359.5
2000-05,14636754971.0,1663240667.0,3167181403.0,169411680.0,887081090.0,1671039709.0,3159.0,58.25,694.0,229.3,359.5
2000-06,15250939656.0,1636969297.0,3214982843.0,156502370.0,883530139.0,1670427579.0,3159.0,58.25,694.0,229.3,359.5
2000-07,14455655854.0,1606725442.0,3255804253.0,137391132.0,870993704.0,1645587937.0,3159.0,58.25,694.0,229.3,359.5
2000-08,14786880244.0,1685673813.0,3267078390.0,121056169.0,923675716.0,1678044413.0,3159.0,58.25,694.0,229.3,359.5
2000-09,15133379448.0,1592373209.0,3510988785.0,127921283.0,943856029.0,1900124085.0,3159.0,58.25,694.0,229.3,359.5
2000-10,15248067735.0,1619740904.0,3471764548.0,126551005.0,981958017.0,1773514357.0,3159.0,58.25,694.0,229.3,359.5
2000-11,14989067774.0,1728475871.0,3331334272.0,150756897.0,944141978.0,1877923709.0,3159.0,58.25,694.0,229.3,359.5
2000-12,14976554592.0,1608753969.0,3582547249.0,155015425.0,891627321.0,1812514974.0,3159.0,58.25,694.0,229.3,359.5
2001-01,12644929017.0,1239083390.0,2703366934.0,94830841.0,702872420.0,1616072581.0,3159.0,58.25,694.0,229.3,359.5
2001-02,13354073762.0,1513732501.0,2502468673.0,135284913.0,802615931.0,1546804634.0,3159.0,58.25,694.0,229.3,359.5
2001-03,14124891326.0,1607051165.0,2855151093.0,159595798.0,852738239.0,1637434941.0,3159.0,58.25,694.0,229.3,359.5
2001-04,12121109771.0,1540004834.0,2427541727.0,158361600.0,858202241.0,1365516173.0,3159.0,58.25,694.0,229.3,359.5
2001-05,13306959164.0,1600296077.0,2511513054.0,163293890.0,936811601.0,1479760006.0,3159.0,58.25,694.0,229.3,359.5
2001-06,12931941025.0,1647396857.0,2669876560.0,162529118.0,791948637.0,1421370438.0,3159.0,58.25,694.0,229.3,359.5
2001-07,11392256710.0,1532212464.0,2434080251.0,134354511.0,698154966.0,1206250955.0,3159.0,58.25,694.0,229.3,359.5
2001-08,11766192458.0,1488933965.0,2586477504.0,131830895.0,698675179.0,1210560889.0,3159.0,58.25,694.0,229.3,359.5
2001-09,12447323670.0,1515586442.0,2837276788.0,137161302.0,774206111.0,1298082968.0,3159.0,58.25,694.0,229.3,359.5
2001-10,12086028283.0,1485592377.0,2593946857.0,139408674.0,792686908.0,1233369518.0,3159.0,58.25,694.0,229.3,359.5
2001-11,12348966889.0,1517838556.0,2711414606.0,158303058.0,774088862.0,1328742455.0,3159.0,58.25,694.0,229.3,359.5
2001-12,11914472044.0,1502461022.0,2377681032.0,156708036.0,768677224.0,1161800697.0,3159.0,58.25,694.0,229.3,359.5
2002-01,11381879453.0,1471487338.0,2496356532.0,126243658.0,710914959.0,1054722674.0,3159.0,58.25,694.0,229.3,359.5
2002-02,11023036912.0,1314887195.0,2267664325.0,118939281.0,658025209.0,1065870276.0,3159.0,58.25,694.0,229.3,359.5
2002-03,13251322898.0,1776786999.0,2745682039.0,162112998.0,849361366.0,1194416507.0,3159.0,58.25,694.0,229.3,359.5
2002-04,13184534346.0,1857224615.0,2754209141.0,197481812.0,843910378.0,1187275726.0,3159.0,58.25,694.0,229.3,359.5
2002-05,14173176611.0,1941925212.0,2836154720.0,281202443.0,897000426.0,1282811471.0,3159.0,58.25,694.0,229.3,359.5
2002-06,12894088493.0,1838409871.0,2381101704.0,198034906.0,938056325.0,1220583003.0,3159.0,58.25,694.0,229.3,359.5
2002-07,13395178905.0,2010716667.0,2708340089.0,168237505.0,903056331.0,1302584242.0,3159.0,58.25,694.0,229.3,359.5
2002-08,13959109880.0,2034950003.0,2745114596.0,170608783.0,856444734.0,1244127422.0,3159.0,58.25,694.0,229.3,359.5
2002-09,13900763481.0,2107709414.0,2745226658.0,175078338.0,830116731.0,1287483718.0,3159.0,58.25,694.0,229.3,359.5
2002-10,15084658742.0,2472827761.0,3110798556.0,219061171.0,890016045.0,1409834404.0,3159.0,58.25,694.0,229.3,359.5
2002-11,15196561477.0,2396004989.0,3028530917.0,215989041.0,888201439.0,1474813167.0,1183.0,58.25,460.0,153.0,134.0
2002-12,15026216602.0,2530655690.0,2961008886.0,207197508.0,880431442.0,1418660277.0,1214.0,58.25,430.0,147.0,149.0
2003-01,14319930962.0,2289754881.0,2612314009.0,160001619.0,882496951.0,1395928617.0,1229.0,20.6,430.0,148.0,173.0
